"Column1","Column2","Correlation"
"Change200Period","DailyClassChange10Period",0.677906334400177
"ChangeSlowRSI","ClassChangeEMA",0.677028000354767
"DailyChangeSlowRSI","DailyClassChange5Period",0.676882922649384
"Change200Period","DailyChange5Period",0.676485359668732
"MACD","ClassChange25Period",0.673594534397125
"DailyClassChange5Period","DailyClassChangeSlowRSI",0.67342621088028
"RSI","Change10Period",0.673015713691711
"ClassChange5Period","ClassChangeEMA",0.672182738780975
"ClassChange10Period","ClassChangeEMA",0.671890020370483
"RSI","ClassChange50Period",0.670251488685608
"DailyChange1Period","DailyClassChangeRSI",0.668100416660309
"DailyChange1Period","DailyClassChange1Period",0.668082058429718
"ChangeEMA","ClassChangeEMA",0.665528357028961
"Change200Period","DailyMACD",0.663557052612305
"Change5Period","ClassChange5Period",0.660289645195007
"DailyRSI","DailyClassChangeEMA",0.659106373786926
"ChangeSlowRSI","ClassChange5Period",0.654819667339325
"ClassChange200Period","DailyClassChangeEMA",0.654312670230865
"ClassChange5Period","ClassChangeSlowRSI",0.652566611766815
"DailyRSI","DailyClassChange50Period",0.651880502700806
"DailyRSI","DailyClassChange10Period",0.646253526210785
"DailyChangeEMA","DailyClassChange5Period",0.644271910190582
"RSI","ClassChangeEMA",0.643148422241211
"DailyChange5Period","DailyClassChangeEMA",0.642080187797546
"DailyChange10Period","DailyClassChangeEMA",0.641171038150787
"ChangeFuture10","ChangeFuture25",0.635898411273956
"DailyChangeEMA","DailyClassChangeSlowRSI",0.634731650352478
"Change10Period","Change25Period",0.634550631046295
"DailyChange25Period","DailyChangeEMA",0.63283234834671
"Change1Period","ClassChange1Period",0.632369518280029
"DailyChangeEMA","DailyClassChange10Period",0.632333159446716
"Change1Period","ClassChangeRSI",0.632271289825439
"Change25Period","ChangeEMA",0.630481481552124
"DailyChange10Period","DailyChange25Period",0.62949937582016
"DailyMACD","DailyChangeEMA",0.627393841743469
"ClassChange100Period","DailyChange5Period",0.624545872211456
"DailyConsecChange10Period","DailyConsecChangeEMA",0.62383097410202
"ClassChange100Period","DailyChangeSlowRSI",0.623580813407898
"Change100Period","DailyClassChange5Period",0.622466027736664
"MACD","ChangeEMA",0.620272099971771
"DailyChange5Period","DailyClassChangeSlowRSI",0.616200566291809
"DailyChange10Period","DailyChangeSlowRSI",0.614740133285522
"ClassChange100Period","DailyClassChangeEMA",0.614509403705597
"ClassChange200Period","DailyChangeEMA",0.614332914352417
"Change200Period","DailyClassChangeEMA",0.61332893371582
"SlowRSI","Change100Period",0.611722111701965
"ClassChange200Period","DailyRSI",0.6100212931633
"DailySlowRSI","DailyChange100Period",0.609155714511871
"RSI","ClassChange10Period",0.609086155891418
"ClassChange100Period","DailyClassChangeSlowRSI",0.606843173503876
"Change50Period","DailyChange1Period",0.603290736675262
"Change50Period","DailyChangeEMA",0.60286146402359
"Change200Period","DailyChangeSlowRSI",0.601754665374756
"DailyConsecChange5Period","DailyConsecChangeEMA",0.600580930709839
"Change100Period","DailyChange10Period",0.598594009876251
"ChangeEMA","ClassChangeSlowRSI",0.594932794570923
"Change10Period","ClassChangeEMA",0.59435898065567
"Change10Period","ChangeSlowRSI",0.593852639198303
"ClassChange100Period","DailyChangeEMA",0.59106308221817
"Change200Period","DailyChange25Period",0.58675628900528
"Change100Period","DailyClassChangeEMA",0.584822058677673
"ChangeEMA","ClassChange5Period",0.584816634654999
"Change5Period","ClassChangeEMA",0.584630966186523
"ChangeEMA","ClassChange10Period",0.584035158157349
"Change1Period","ChangeEMA",0.574595272541046
"ConsecChange10Period","ConsecChangeEMA",0.572847306728363
"SlowRSI","ClassChange100Period",0.572175562381744
"Change5Period","ClassChangeSlowRSI",0.569730639457703
"Change100Period","DailyClassChangeSlowRSI",0.569555819034576
"ChangeRSI","ChangeSlowRSI",0.567472636699677
"DailyRSI","DailyChange5Period",0.567095577716827
"DailyChangeRSI","DailyChangeSlowRSI",0.56637966632843
"DailyChangeSlowRSI","DailyClassChange10Period",0.565672636032104
"Change50Period","DailyChangeSlowRSI",0.564887166023254
"DailyChange1Period","DailyChangeEMA",0.564036130905151
"DailyMACD","DailyChange100Period",0.563855588436127
"DailyChange100Period","DailyClassChange200Period",0.559370517730713
"MACD","ClassChange50Period",0.55441427230835
"ClassChange200Period","DailyChangeSlowRSI",0.553936719894409
"DailyMACD","DailyClassChange50Period",0.552541851997375
"DailyClassChange100Period","DailyClassChange200Period",0.550375044345856
"DailyRSI","DailyChange100Period",0.548162937164307
"RSI","Change100Period",0.548064529895782
"ChangeSlowRSI","ClassChange10Period",0.546846568584442
"DailyChange1Period","DailyChangeSlowRSI",0.545608758926392
"DailyMACD","DailyClassChange10Period",0.541047930717468
"DailyChange200Period","DailyClassChange100Period",0.539531290531158
"DailySlowRSI","DailyClassChange100Period",0.539323151111603
"ClassChange200Period","DailyClassChangeSlowRSI",0.538125574588776
"DailyClassChange10Period","DailyClassChangeSlowRSI",0.536905288696289
"Change1Period","ChangeSlowRSI",0.535934507846832
"MACD","Change100Period",0.535452842712402
"RSI","Change5Period",0.534070670604706
"DailyChange50Period","DailyClassChange25Period",0.527055263519287
"ConsecChange200Period","DailyConsecChange5Period",0.525425970554352
"DailySlowRSI","DailyChange10Period",0.524745464324951
"SlowRSI","DailyChangeSlowRSI",0.522193789482117
"DailyChange10Period","DailyClassChangeSlowRSI",0.52201110124588
"ConsecChange100Period","DailyConsecChange5Period",0.519596517086029
"DailyClassChange5Period","DailyClassChange10Period",0.517166376113892
"ClassChange100Period","ClassChange200Period",0.517158448696136
"ClassChange10Period","ClassChangeSlowRSI",0.51695704460144
"DailyChange25Period","DailyChange100Period",0.515787661075592
"DailyRSI","DailyClassChange5Period",0.514979004859924
"DailyChange5Period","DailyClassChange10Period",0.514745533466339
"Change50Period","DailyChange5Period",0.514010071754456
"SlowRSI","DailyChangeRSI",0.513578593730927
"DailyChange10Period","DailyClassChange5Period",0.512861549854279
"Change100Period","ClassChange200Period",0.512379348278046
"ClassChange200Period","DailyChange5Period",0.511485040187836
"RSI","ClassChange100Period",0.511358737945557
"ClassChange50Period","ClassChange100Period",0.511194467544556
"ClassChange200Period","DailyClassChange5Period",0.510661542415619
"DailyChange25Period","DailyClassChange50Period",0.510416805744171
"Change200Period","DailyClassChangeSlowRSI",0.508509635925293
"Change200Period","ClassChange100Period",0.5079705119133
"Change100Period","ClassChange50Period",0.507550001144409
"ClassChange200Period","DailyMACD",0.506711065769196
"SlowRSI","DailyChange1Period",0.506561577320099
"MACD","ClassChange10Period",0.506020307540894
"DailyClassChange25Period","DailyClassChange50Period",0.505159378051758
"Change50Period","ClassChange100Period",0.504859924316406
"Change100Period","DailyRSI",0.503529012203217
"Change200Period","DailyClassChange5Period",0.501415610313416
"DailyChange50Period","DailyChange200Period",0.499454349279404
"Change50Period","DailyChangeRSI",0.498966544866562
"ChangeFuture25","ChangeFuture100",0.497311979532242
"DailyChange50Period","DailyClassChange100Period",0.496941655874252
"Change25Period","ClassChange50Period",0.494593918323517
"ChangeFuture50","ChangeFuture200",0.491582095623016
"Change25Period","Change100Period",0.491360127925873
"ClassChange5Period","ClassChange10Period",0.491317510604858
"ClassChange25Period","ClassChange50Period",0.491287469863892
"ClassChange50Period","DailyChangeSlowRSI",0.490306437015533
"Change50Period","ClassChange25Period",0.488862603902817
"Change10Period","ClassChangeSlowRSI",0.487719357013702
"Change200Period","DailySlowRSI",0.486385077238083
"DailyRSI","DailyClassChange100Period",0.484672427177429
"SlowRSI","Change10Period",0.480048954486847
"DailyMACD","DailyClassChangeEMA",0.478746742010117
"Change50Period","Change200Period",0.475342720746994
"Change5Period","ClassChange10Period",0.473987549543381
"DailyChange100Period","DailyClassChange50Period",0.473504453897476
"SlowRSI","DailyChangeEMA",0.47057569026947
"ConsecChange5Period","ConsecChangeEMA",0.467841148376465
"DailySlowRSI","DailyChange200Period",0.467145770788193
"MACD","ClassChangeEMA",0.466661363840103
"ConsecChange5Period","ConsecChangeSlowRSI",0.466286808252335
"DailyChange25Period","DailyClassChange10Period",0.464973568916321
"RSI","ClassChange5Period",0.463528782129288
"DailyChange50Period","DailyChangeEMA",0.463323563337326
"SlowRSI","DailyClassChangeRSI",0.46318456530571
"SlowRSI","DailyClassChange1Period",0.462528109550476
"Change10Period","ClassChange5Period",0.46180459856987
"DailySlowRSI","DailyChangeEMA",0.461574375629425
"DailyChange25Period","DailyClassChangeEMA",0.460374385118484
"Change25Period","DailyChange1Period",0.459772825241089
"DailyChangeSlowRSI","DailyClassChangeRSI",0.457829147577286
"DailyChange10Period","DailyClassChange25Period",0.455691576004028
"DailyChange10Period","DailyChange50Period",0.455393195152283
"DailyChangeSlowRSI","DailyClassChange1Period",0.455195784568787
"SlowRSI","DailyClassChangeSlowRSI",0.454956293106079
"ClassChange100Period","DailyRSI",0.45438352227211
"DailySlowRSI","DailyClassChange10Period",0.453727424144745
"ChangeFuture5","ChangeFuture25",0.452168792486191
"MACD","DailyChange1Period",0.451072007417679
"ClassChange100Period","DailyChange10Period",0.450963973999023
"Change5Period","Change25Period",0.45042684674263
"Change100Period","DailyClassChange10Period",0.449153393507004
"DailyChangeEMA","DailyClassChange25Period",0.448821932077408
"ChangeFuture10","ChangeFuture50",0.447290301322937
"ClassChange50Period","DailyClassChangeSlowRSI",0.44720458984375
"Change50Period","ChangeEMA",0.446044981479645
"Change10Period","Change50Period",0.445962488651276
"Change50Period","DailyClassChangeSlowRSI",0.445516884326935
"ChangeFuture1","ChangeFuture5",0.445269554853439
"Change1Period","Change5Period",0.444815218448639
"DailyChange5Period","DailyChange25Period",0.444593787193298
"ClassChange100Period","DailyClassChange10Period",0.443914443254471
"Change25Period","ClassChangeEMA",0.443414777517319
"ClassChange25Period","ClassChangeEMA",0.442519068717957
"DailyClassChange50Period","DailyClassChange100Period",0.440713584423065
"ChangeSlowRSI","ClassChangeRSI",0.440054178237915
"ChangeSlowRSI","ClassChange1Period",0.439897954463959
"DailySlowRSI","DailyClassChange200Period",0.439396530389786
"ClassChange200Period","DailyChange25Period",0.438988089561462
"RSI","ChangeSlowRSI",0.438629955053329
"DailyClassChange25Period","DailyClassChangeEMA",0.438331067562103
"ClassChange50Period","DailyChangeEMA",0.438209414482117
"ClassChange50Period","DailyChangeRSI",0.438190340995789
"Change10Period","ClassChange25Period",0.436887115240097
"DailyRSI","DailyChangeSlowRSI",0.434823781251907
"ChangeEMA","ClassChange25Period",0.43439194560051
"SlowRSI","Change200Period",0.432485342025757
"DailyClassChange10Period","DailyClassChange25Period",0.43201407790184
"ClassChange50Period","DailyChange1Period",0.43188488483429
"Change200Period","DailyChange50Period",0.431411892175674
"DailyChangeRSI","DailyClassChangeSlowRSI",0.42808997631073
"Change25Period","ClassChange10Period",0.427759498357773
"DailyChange1Period","DailyChange5Period",0.426051527261734
"SlowRSI","ClassChange10Period",0.425665289163589
"MACD","Change5Period",0.424607545137405
"Change200Period","DailyClassChange25Period",0.42377758026123
"ClassChange10Period","ClassChange25Period",0.42116641998291
"DailyMACD","DailyChange5Period",0.420838385820389
"SlowRSI","DailyClassChangeEMA",0.419771790504456
"SlowRSI","ChangeEMA",0.419441014528275
"DailyChange1Period","DailyClassChangeSlowRSI",0.419152319431305
"DailyConsecChange50Period","DailyConsecChange100Period",0.418556123971939
"ClassChange200Period","DailySlowRSI",0.418157011270523
"Change50Period","DailyClassChangeEMA",0.416168332099915
"DailyRSI","DailyChange200Period",0.414639264345169
"Change50Period","DailyClassChangeRSI",0.412305593490601
"Change50Period","DailyClassChange1Period",0.411690205335617
"SlowRSI","ClassChange200Period",0.410829156637192
"Change100Period","DailyChange1Period",0.410274714231491
"SlowRSI","DailyChange5Period",0.408845394849777
"ChangeRSI","ClassChangeSlowRSI",0.408796668052673
"DailySlowRSI","DailyClassChangeEMA",0.406815439462662
"ClassChange50Period","DailyClassChangeRSI",0.406733781099319
"ClassChange50Period","DailyClassChange1Period",0.406405329704285
"ClassChange50Period","DailyClassChangeEMA",0.405598700046539
"SlowRSI","ClassChangeEMA",0.404577881097794
"DailyMACD","DailyClassChange100Period",0.401006400585175
"DailyRSI","DailyClassChangeSlowRSI",0.400203883647919
"ConsecChange100Period","DailyConsecChangeSlowRSI",0.398502171039581
"DailyClassChangeRSI","DailyClassChangeSlowRSI",0.398310869932175
"ClassChange200Period","DailyClassChange25Period",0.397277772426605
"MACD","DailyChangeRSI",0.397246688604355
"DailyClassChange1Period","DailyClassChangeSlowRSI",0.39714440703392
"DailyChange50Period","DailyClassChange200Period",0.396810263395309
"ConsecChangeEMA","ConsecChangeSlowRSI",0.395742505788803
"MACD","ClassChange100Period",0.395531266927719
"Change25Period","DailyChangeRSI",0.390750288963318
"ConsecChangeSlowRSI","ConsecChangeMACD",0.39073657989502
"RSI","Change200Period",0.390416979789734
"Change1Period","ClassChangeSlowRSI",0.389776617288589
"DailyConsecChangeSlowRSI","DailyConsecChangeMACD",0.389342218637466
"DailyConsecChange5Period","DailyConsecChange10Period",0.389275938272476
"DailyMACD","DailyChange200Period",0.388688445091248
"DailyChangeEMA","DailyClassChangeRSI",0.387701272964478
"Change100Period","DailyChange25Period",0.387354731559753
"RSI","DailyChangeRSI",0.386769354343414
"RSI","DailyChangeSlowRSI",0.385920733213425
"DailyChangeEMA","DailyClassChange1Period",0.385134220123291
"DailyChangeEMA","DailyChangeRSI",0.38508266210556
"ClassChangeRSI","ClassChangeSlowRSI",0.38329690694809
"ClassChange1Period","ClassChangeSlowRSI",0.3822962641716
"RSI","DailyChange1Period",0.382153898477554
"ClassChange50Period","DailyChange5Period",0.378850758075714
"MACD","Change200Period",0.378602415323257
"ChangeEMA","ChangeRSI",0.377373963594437
"DailyChange200Period","DailyClassChange50Period",0.376575171947479
"DailyRSI","DailyClassChange200Period",0.375175178050995
"SlowRSI","DailyClassChange5Period",0.373446047306061
"DailyChange1Period","DailyClassChangeEMA",0.372374534606934
"Change50Period","DailyClassChange5Period",0.370429337024689
"DailyChange100Period","DailyClassChange25Period",0.369077682495117
"RSI","ClassChange200Period",0.36797970533371
"DailyChange25Period","DailyClassChange100Period",0.366017639636993
"RSI","ClassChangeSlowRSI",0.363420069217682
"Change50Period","DailyChange10Period",0.36296159029007
"ClassChange50Period","DailyClassChange5Period",0.359920024871826
"Change1Period","ClassChangeEMA",0.358617871999741
"Change200Period","ClassChange50Period",0.357169300317764
"Change50Period","ClassChange200Period",0.356898277997971
"ChangeFuture25","ChangeFuture200",0.356686353683472
"Change100Period","DailyMACD",0.352843761444092
"DailyConsecChangeEMA","DailyConsecChangeSlowRSI",0.350983291864395
"RSI","DailyClassChangeRSI",0.350456863641739
"RSI","DailyClassChange1Period",0.350300639867783
"Change100Period","ClassChange25Period",0.350126922130585
"DailyChange25Period","DailyChange200Period",0.348319470882416
"RSI","DailyChangeEMA",0.348091274499893
"Change25Period","ClassChange100Period",0.347665041685104
"DailyClassChangeEMA","DailyClassChangeRSI",0.347335368394852
"ClassChange50Period","ClassChange200Period",0.346491247415543
"DailyClassChange1Period","DailyClassChangeEMA",0.344783663749695
"Change25Period","Change200Period",0.344563722610474
"DailyClassChange50Period","DailyClassChange200Period",0.34422755241394
"ChangeEMA","ClassChangeRSI",0.343228697776794
"ChangeEMA","ClassChange1Period",0.342646270990372
"DailyChange100Period","DailyChangeEMA",0.341411888599396
"RSI","DailyClassChangeSlowRSI",0.33627387881279
"ClassChangeEMA","ClassChangeRSI",0.33625715970993
"DailyChange10Period","DailyChange100Period",0.336015313863754
"ClassChange1Period","ClassChangeEMA",0.335050672292709
"DailyClassChange25Period","DailyClassChange100Period",0.33319491147995
"ConsecChange50Period","DailyConsecChangeRSI",0.333133339881897
"MACD","DailyChangeEMA",0.331203728914261
"DailyChange25Period","DailyClassChange5Period",0.331021726131439
"DailyMACD","DailyClassChange5Period",0.329986423254013
"ConsecChange50Period","DailyConsecChange1Period",0.329114615917206
"ClassChange25Period","DailyChangeRSI",0.328644156455994
"DailyConsecChange5Period","DailyConsecChangeSlowRSI",0.328438878059387
"ClassChange25Period","ClassChange100Period",0.326995670795441
"DailyChangeEMA","DailyClassChange50Period",0.326711684465408
"DailyChangeRSI","DailyClassChangeEMA",0.325975507497787
"MACD","DailyClassChange1Period",0.325515449047089
"MACD","DailyClassChangeRSI",0.325384318828583
"MACD","DailyChangeSlowRSI",0.324749231338501
"Change200Period","DailyChange100Period",0.323857426643372
"DailyChange50Period","DailyClassChangeEMA",0.323555797338486
"ClassChange25Period","DailyClassChange1Period",0.323172152042389
"ClassChange25Period","DailyClassChangeRSI",0.322384893894196
"DailyChange10Period","DailyClassChange50Period",0.320865124464035
"ChangeRSI","ClassChangeEMA",0.320624768733978
"DailyChange5Period","DailyChange50Period",0.319553911685944
"DailyChange50Period","DailyClassChange10Period",0.319518744945526
"Change50Period","DailyRSI",0.318958163261414
"DailyChange200Period","DailyClassChange25Period",0.318394005298615
"ChangeFuture5","ChangeFuture50",0.318148046731949
"ClassChange25Period","DailyChange1Period",0.317622184753418
"Change25Period","DailyClassChange1Period",0.317218005657196
"Change25Period","DailyClassChangeRSI",0.316874653100967
"Change5Period","Change50Period",0.316578388214111
"ChangeFuture1","ChangeFuture10",0.31646192073822
"Change1Period","Change10Period",0.31573349237442
"ChangeFuture10","ChangeFuture100",0.31397533416748
"ConsecChange100Period","DailyConsecChangeMACD",0.3130222260952
"SlowRSI","DailyRSI",0.311534464359283
"ChangeEMA","ClassChange50Period",0.311367392539978
"Change10Period","ClassChange50Period",0.311279863119125
"Change100Period","ChangeEMA",0.310833364725113
"DailyChange5Period","DailyClassChange25Period",0.310778617858887
"Change5Period","ClassChange25Period",0.308313459157944
"RSI","DailyClassChangeEMA",0.307389736175537
"Change50Period","ClassChangeEMA",0.307377219200134
"DailyMACD","DailyClassChange200Period",0.30696839094162
"Change10Period","Change100Period",0.306908518075943
"Change200Period","DailyClassChange50Period",0.304501682519913
"DailyClassChange50Period","DailyClassChangeEMA",0.304051011800766
"ClassChange100Period","DailyChange1Period",0.303542196750641
"Change100Period","DailyChangeRSI",0.303068220615387
"ClassChange200Period","DailyChange50Period",0.303034603595734
"DailyChange1Period","DailyClassChange5Period",0.301175713539124
"Change25Period","DailyChangeEMA",0.300265848636627
"SlowRSI","DailyChange10Period",0.299875348806381
"RSI","DailyChange5Period",0.299766778945923
"DailyChange5Period","DailyChangeRSI",0.299410760402679
"DailyChange1Period","DailyChange10Period",0.298208147287369
"ConsecChange100Period","DailyClassChangeMACD",0.297902762889862
"DailyChange5Period","DailyClassChangeRSI",0.297034561634064
"ClassChange100Period","DailyChange25Period",0.294611215591431
"ClassChange50Period","ClassChangeEMA",0.293663412332535
"DailyChange5Period","DailyClassChange1Period",0.293414145708084
"ConsecChange100Period","DailyConsecChangeEMA",0.292348146438599
"Change1Period","ClassChange5Period",0.291939944028854
"Change100Period","DailyClassChangeRSI",0.290957927703857
"Change50Period","ClassChange10Period",0.290559500455856
"Change25Period","DailyChangeSlowRSI",0.289141535758972
"Change25Period","ClassChange5Period",0.288893550634384
"DailyClassChange5Period","DailyClassChange25Period",0.288804292678833
"Change100Period","DailyClassChange1Period",0.288459897041321
"Change5Period","ChangeRSI",0.288315087556839
"DailySlowRSI","DailyChange5Period",0.287184119224548
"ClassChange50Period","DailyRSI",0.286985397338867
"Change100Period","DailyChange50Period",0.286658227443695
"DailyClassChange10Period","DailyClassChange50Period",0.286093235015869
"MACD","ClassChange5Period",0.284158527851105
"MACD","ClassChange200Period",0.283443629741669
"DailyClassChange25Period","DailyClassChange200Period",0.279091060161591
"DailyChange25Period","DailyClassChange200Period",0.278429418802261
"ClassChange50Period","DailyChange10Period",0.27822807431221
"ConsecChange5Period","ConsecChange10Period",0.278024017810822
"SlowRSI","DailyClassChange10Period",0.277574241161346
"ClassChange100Period","DailyChangeRSI",0.277112066745758
"Change200Period","DailyChange1Period",0.276442915201187
"Change100Period","DailyClassChange25Period",0.275683730840683
"ClassChange100Period","DailyMACD",0.274631351232529
"DailyClassChange5Period","DailyClassChangeRSI",0.273096024990082
"RSI","DailyClassChange5Period",0.272425144910812
"ClassChange10Period","ClassChange50Period",0.272149324417114
"ClassChange100Period","DailyClassChangeRSI",0.272064000368118
"DailyClassChange1Period","DailyClassChange5Period",0.270759373903275
"ConsecChange100Period","ConsecChange200Period",0.270348817110062
"ClassChange100Period","DailyClassChange1Period",0.270311921834946
"ClassChange5Period","ClassChange25Period",0.269172191619873
"DailyChangeRSI","DailyClassChange5Period",0.268999397754669
"ClassChange1Period","ClassChange5Period",0.268351972103119
"Change50Period","DailyClassChange10Period",0.267190963029861
"ClassChange200Period","DailyClassChange50Period",0.266830086708069
"MACD","DailyChange5Period",0.266001760959625
"ChangeRSI","ClassChange5Period",0.265726208686829
"DailyRSI","DailyChange1Period",0.26553213596344
"ConsecChange200Period","DailyConsecChangeSlowRSI",0.265517204999924
"ClassChange5Period","ClassChangeRSI",0.264205753803253
"RSI","Change1Period",0.264069885015488
"SlowRSI","Change5Period",0.262535125017166
"Change5Period","ClassChangeRSI",0.262056291103363
"Change5Period","ClassChange1Period",0.261703759431839
"ConsecChange50Period","ConsecChange100Period",0.258740395307541
"MACD","DailyClassChangeSlowRSI",0.258707702159882
"DailySlowRSI","DailyClassChange5Period",0.258138597011566
"ClassChange100Period","DailyClassChange25Period",0.257895678281784
"DailyClassChangeMACD","DailyConsecChangeSlowRSI",0.25554358959198
"ClassChange50Period","DailyClassChange10Period",0.25536385178566
"ConsecChange1Period","ConsecChangeMACD",0.251445710659027
"Change25Period","ClassChange200Period",0.248016282916069
"Change200Period","ClassChange25Period",0.242747515439987
"Day.Sat","ConsecChange1Period",0.242439433932304
"Change100Period","DailySlowRSI",0.241943091154099
"Day.Mon","Day.Wed",-0.240307554602623
"Day.Mon","Day.Thu",-0.23997475206852
"Day.Mon","Day.Tue",-0.239944502711296
"Day.Thu","Day.Wed",-0.239894226193428
"Day.Tue","Day.Wed",-0.239863976836205
"Day.Thu","Day.Tue",-0.239531800150871
"Change50Period","DailyChange25Period",0.235707983374596
"Change25Period","DailyChange5Period",0.235384732484818
"DailyChangeEMA","DailyClassChange100Period",0.234842285513878
"DailyChange5Period","DailyChange100Period",0.233681678771973
"DailyChange10Period","DailyClassChange100Period",0.233290553092957
"ClassChange25Period","DailyChangeSlowRSI",0.231963649392128
"ChangeFuture10","ChangeFuture200",0.230629205703735
"DailyRSI","DailyClassChangeRSI",0.230615973472595
"RSI","DailyRSI",0.229937687516212
"Change25Period","ChangeSlowRSI",0.228965908288956
"DailyRSI","DailyClassChange1Period",0.22887396812439
"DailyChange50Period","DailyClassChange5Period",0.228448465466499
"Change25Period","DailyClassChangeSlowRSI",0.228314980864525
"DailyChange5Period","DailyClassChange50Period",0.228184267878532
"DailyChange100Period","DailyClassChangeEMA",0.226713746786118
"Day.Fri","Day.Mon",-0.22551041841507
"Change200Period","DailyClassChange100Period",0.225485041737556
"Day.Fri","Day.Wed",-0.225434750318527
"MACD","DailyClassChangeEMA",0.225393995642662
"Day.Fri","Day.Thu",-0.225122556090355
